doc_id,D,name,score_x,score_y
1,1,Michael R. Wardian,0.94846,0.94846
6,6,Kristen Pedersen,0.79677,0.79677
7,7,Magdalen P O'Shea,0.79299,0.79299
8,8,Claire Holland,0.78362,0.78362
2,2,Rob Pope,0.85901,0.85901
11,11,Jennifer Lehnhof,0.77138,0.77138
12,12,Molli Bahlenhorst,0.76827,0.76827
14,14,Alicia Jenkins,0.76416,0.76416
3,3,Andrew T Joda,0.84644,0.84644
17,17,Patricia G. Celestino,0.72224,0.72224
19,19,Eileen Merken,0.71478,0.71478
20,20,Angelica Webb,0.7132,0.7132
4,4,Jake Mogan,0.82746,0.82746
23,23,Alyssa R. Work,0.70938,0.70938
26,26,Cori Cooper,0.70316,0.70316
5,5,Nick Mosey,0.80714,0.80714
31,31,Rachel E Crabill,0.65894,0.65894
36,36,Caryn W. Kelley,0.62672,0.62672
9,9,Jeremy D Groves,0.78343,0.78343
38,38,Kelly C Taylor,0.61792,0.61792
10,10,Drew S. Gallagher,0.78018,0.78018
15,15,Thomas Dyroff,0.75709,0.75709
30,30,Andi Kneeland,0.66195,0.66195
13,13,Bart Luijk,0.76579,0.76579
16,16,Scott M. Douglas,0.7416,0.7416
22,22,Mary K Hanson,0.71024,0.71024
24,24,Matt Hall,0.70904,0.70904
25,25,Jim A. Dietsche,0.70785,0.70785
21,21,Brian F. Merrigan,0.71234,0.71234
33,33,Kim Mcbride,0.65463,0.65463
35,35,Busola Laguda,0.62801,0.62801
37,37,Jana Daniels,0.61997,0.61997
18,18,Henry J. Och,0.71889,0.71889
27,27,Wolfgang Hochetlinger,0.6914,0.6914
29,29,Kurt E. Mckenzie,0.66549,0.66549
32,32,John C Sigg,0.65473,0.65473
39,39,Guido Gerritsen,0.61476,0.61476
40,40,Stephanie Gruenloh,0.61352,0.61352
42,42,Karen Chancy,0.59162,0.59162
28,28,Walter T Shellman,0.66812,0.66812
34,34,Emilio Sanchez Curbelo,0.63862,0.63862
41,41,Andrei Klinke,0.59865,0.59865
43,43,Wendy Tibbetts,0.57021,0.57021
44,44,Bennet Johnson,0.5637,0.5637
45,45,Kyle D. Kiepke,0.56284,0.56284
47,47,Bettina Boergmann,0.53712,0.53712
48,48,Amy Delguercio,0.50093,0.50093
46,46,Philip S. Pierce,0.5486,0.5486
49,49,Mark Porter,0.49983,0.49983
50,50,Jessica C. Doggett,0.39838,0.39838
